original,closest_match
"['<s>', 'pride,', 'combined,', 'great', 'attitudes', 'makes', 'memorable', 'occasion', '</s>']","['<s>', 'guy', 'makes,', 'great', 'pie', '</s>']"
"['<s>', 'water,', 'water', '</s>']","['<s>', 'water,', 'barely', '</s>']"
"['<s>', 'cool', '</s>']","['<s>', 'super', 'cool', '</s>']"
"['<s>', 'place', '</s>']","['<s>', 'place', 'sucks,', '!', '</s>']"
"['<s>', 'clean', '</s>']","['<s>', 'clean,', 'mess', '</s>']"
"['<s>', 'hearing', '</s>']","['<s>', 'sick,', 'hearing', '</s>']"
"['<s>', 'great', 'food', '</s>']","['<s>', 'great,', 'food,', 'deli', 'department', '</s>']"
"['<s>', 'poor,', 'slow', '</s>']","['<s>', 'slow,', 'seasoned,', 'poor', '</s>']"
"['<s>', 'fate', '</s>']","['<s>', 'convinced,', 'fate', '</s>']"
"['<s>', 'parking,', 'good', '</s>']","['<s>', 'good', 'service,', 'parking,', 'grocery', 'store', '</s>']"
"['<s>', '""nt""', '</s>']","['<s>', 'terrible', '</s>']"
"['<s>', 'music,', 'play,', 'awful', '</s>']","['<s>', 'bar,', 'attentive,', 'music,', 'awful', '</s>']"
"['<s>', 'like,', 'menu', '</s>']","['<s>', 'like,', 'menu', 'items', '</s>']"
"['<s>', 'dollar', 'sandwich,', 'drain', '</s>']","['<s>', 'not,', 'dollar', 'sandwich', '</s>']"
"['<s>', 'mess,', 'zero', '</s>']","['<s>', 'zero', '</s>']"
"['<s>', 'love,', 'selection,', 'chocolate', '</s>']","['<s>', 'love,', 'selection', '</s>']"
"['<s>', 'cars', '</s>']","['<s>', 'great', 'selection,', 'cars,', 'cars', '</s>']"
"['<s>', 'room,', 'key', '""nt""', '</s>']","['<s>', 'room,', 'key', '</s>']"
"['<s>', 'lunch', '</s>']","['<s>', 'frozen', 'lunch', 'meat', '</s>']"
"['<s>', 'chicken,', 'wonderful,', 'fun,', 'group', '</s>']","['<s>', 'chicken', 'strips,', 'wonderful,', '!', '</s>']"
"['<s>', 'elsewhere,', 'car', '</s>']","['<s>', 'clean,', 'car,', 'elsewhere', '</s>']"
"['<s>', 'worries,', 'food', '</s>']","['<s>', 'worst', 'food', '</s>']"
"['<s>', 'frozen', 'meat,', 'sausage', '</s>']","['<s>', 'frozen,', 'rolled,', 'lunch', 'meat', '</s>']"
"['<s>', 'stopped,', 'lunch', '</s>']","['<s>', 'stopped,', 'lunch,', 'opera', '</s>']"
"['<s>', 'bad', '</s>']","['<s>', 'food,', 'bad', '</s>']"
"['<s>', 'nice', '</s>']","['<s>', 'amazing', 'selection,', 'nice', '</s>']"
"['<s>', 'baked', 'goods,', 'wraps', '</s>']","['<s>', 'baked', 'goods', '</s>']"
"['<s>', 'excellent', 'beer', 'selection', '</s>']","['<s>', 'good', 'menu,', 'bar,', 'excellent', 'selection', 'beer', '</s>']"
"['<s>', 'loud,', 'apartments', '</s>']","['<s>', 'dollar', 'bowl,', 'loud', '</s>']"
"['<s>', 'enjoyed,', 'coffee', '</s>']","['<s>', 'enjoyed,', 'coffee,', 'hangover,', 'water', '</s>']"
"['<s>', 'car', '</s>']","['<s>', 'based,', 'car', '</s>']"
"['<s>', 'food,', 'fantastic', '</s>']","['<s>', 'absolutely', 'fantastic', 'food', '</s>']"
"['<s>', 'great', 'too', '</s>']","['<s>', 'love,', 'great', 'too', '</s>']"
"['<s>', 'illegal,', 'pet,', 'car', '</s>']","['<s>', '""nt""', 'car', '</s>']"
"['<s>', 'darker', '</s>']","['<s>', 'miss,', 'darker', 'setting,', 'booths', '</s>']"
"['<s>', 'great', 'service', '</s>']","['<s>', 'great,', 'service', '</s>']"
"['<s>', 'cozy,', 'good', 'coffee', '</s>']","['<s>', 'good', 'coffee', '</s>']"
"['<s>', 'favorites', '</s>']","['<s>', 'steak', 'special,', 'chicken,', 'favorites', '</s>']"
"['<s>', 'definitely,', 'best', '</s>']","['<s>', 'best,', 'definitely', '</s>']"
"['<s>', 'worth', '</s>']","['<s>', '""s""', 'worth,', 'drive', '</s>']"
"['<s>', 'great', 'stop,', 'airport', '</s>']","['<s>', 'great', 'airport', '</s>']"
"['<s>', 'menu,', 'fish,', 'good,', '!', '</s>']","['<s>', 'lucky,', 'good', 'menu,', 'options', '</s>']"
"['<s>', 'ate,', 'miracle', 'mile', '""""', '</s>']","['<s>', 'miracle', 'mile', 'beat,', 'retreat', '</s>']"
"['<s>', 'flavor,', 'pretty', 'close,', 'butter', '</s>']","['<s>', 'comes', 'pretty', 'close', '</s>']"
"['<s>', 'green', 'tea,', 'hit,', 'spot', '</s>']","['<s>', 'place,', 'hit,', 'spot', '</s>']"
"['<s>', 'wonderful,', 'meal', '</s>']","['<s>', 'thanks,', 'wonderful', 'meal', '</s>']"
"['<s>', 'poor,', 'cold', 'coffee,', 'food', '</s>']","['<s>', 'cold', 'poor,', 'tasteless', 'food,', 'horrible', '</s>']"
"['<s>', 'blah', 'blah', 'blah', '</s>']","['<s>', 'chicken,', 'cold,', 'blah', '</s>']"
"['<s>', 'great', '</s>']","['<s>', 'great', 'deli,', 'grocery', '</s>']"
"['<s>', 'center,', 'wheels,', 'crappy', 'parking', '</s>']","['<s>', 'crappy', 'parking', '</s>']"
"['<s>', 'love,', 'place,', '!', '</s>']","['<s>', 'absolutely', 'love,', 'place', '</s>']"
"['<s>', 'except,', 'failed', '</s>']","['<s>', 'failed', '</s>']"
"['<s>', 'not', '</s>']","['<s>', 'not,', 'returning', '</s>']"
"['<s>', 'lunch', 'menu,', 'excellent', '</s>']","['<s>', 'excellent,', 'lunch', 'menu', '</s>']"
"['<s>', 'awesome', '</s>']","['<s>', 'great', 'sweet', 'treats,', 'awesome', '</s>']"
"['<s>', 'entree', '</s>']","['<s>', 'sketchy,', 'served,', 'entree', '</s>']"
"['<s>', 'equipment', '</s>']","['<s>', 'equipment,', 'disgusting', '</s>']"
"['<s>', 'back', '</s>']","['<s>', 'bite,', 'back,', 'memories', '</s>']"
"['<s>', 'solid,', 'food', '</s>']","['<s>', 'food,', 'solid', '</s>']"
"['<s>', 'grounds', '</s>']","['<s>', 'museum,', 'grounds', '</s>']"
"['<s>', 'hamburgers', '</s>']","['<s>', 'hamburgers,', 'horrible', '</s>']"
"['<s>', 'mess', '</s>']","['<s>', 'left,', 'mess', 'she,', 'clean', '</s>']"
"['<s>', 'rude,', 'never,', 'pet', '</s>']","['<s>', 'never,', 'pet', '</s>']"
"['<s>', 'stars', '</s>']","['<s>', 'stars,', 'portions', '</s>']"
"['<s>', 'definitely', 'go', 'back', '</s>']","['<s>', 'definitely', 'recommend,', 'go', 'back', '</s>']"
"['<s>', 'figured,', 'try', '</s>']","['<s>', 'walking', 'distance,', 'figured,', 'try', '</s>']"
"['<s>', 'oil', '</s>']","['<s>', 'synthetic', 'blend', 'oil', '</s>']"
"['<s>', 'soul', 'food,', 'joint', '</s>']","['<s>', 'great', 'small,', 'authentic,', 'food', 'joint', '</s>']"
"['<s>', 'charged', '</s>']","['<s>', 'charged,', 'unnecessary', 'supplies,', 'poor', 'service', '</s>']"
"['<s>', 'definitely', 'small,', 'love,', 'seat', '</s>']","['<s>', 'definitely', 'love,', 'place', '</s>']"
"['<s>', 'lazy', '</s>']","['<s>', 'lady,', 'crew,', 'lazy', '</s>']"
"['<s>', 'tasty', '</s>']","['<s>', 'coffee,', 'damn', 'tasty', '</s>']"
"['<s>', 'went,', 'return,', 'box,', 'not,', 'tree', '</s>']","['<s>', 'not', 'return', '</s>']"
"['<s>', 'menu,', 'decent', 'atmosphere', '</s>']","['<s>', 'decent', 'menu,', 'bar', 'food', '</s>']"
"['<s>', 'walked', '</s>']","['<s>', 'walked,', 'hit,', 'bathroom', 'smell', '</s>']"
"['<s>', 'cute,', 'quirky', '</s>']","['<s>', 'cute', 'inside', '</s>']"
"['<s>', '""nt""', 'eat', '</s>']","['<s>', 'eat,', 'not', '</s>']"
"['<s>', 'filling', '</s>']","['<s>', 'favorite,', 'filling', '</s>']"
"['<s>', 'wonderful', '</s>']","['<s>', 'professional,', 'absolutely', 'wonderful', 'food', '</s>']"
"['<s>', 'worst', '</s>']","['<s>', 'hotel,', 'worst,', 'felt', '</s>']"
"['<s>', 'annoying', '</s>']","['<s>', 'annoying,', 'shop', '</s>']"
"['<s>', 'amazing', '</s>']","['<s>', 'place', 'is', 'amazing,', '!', '</s>']"
"['<s>', 'desert', '</s>']","['<s>', 'best,', 'desert', '</s>']"
"['<s>', 'extra,', 'park,', 'car', '</s>']","['<s>', 'even', 'gold,', 'extra,', 'car', '</s>']"
"['<s>', 'try', '</s>']","['<s>', 'great', 'food,', 'friendly,', 'try', '</s>']"
"['<s>', 'is', '</s>']","['<s>', 'is,', 'absolute', 'worst', '</s>']"
"['<s>', 'great', '</s>']","['<s>', 'great', 'deli,', 'grocery', '</s>']"
"['<s>', 'need', '</s>']","['<s>', 'hash,', 'need', '</s>']"
"['<s>', 'helpful', '</s>']","['<s>', 'gracious,', 'helpful,', '!', '</s>']"
"['<s>', 'super', 'friendly', '</s>']","['<s>', 'super', 'friendly,', 'perfectly', 'attentive', '</s>']"
"['<s>', 'manager,', 'hill', '</s>']","['<s>', 'manager,', 'synthetic', '</s>']"
"['<s>', 'highly', 'recommend', '</s>']","['<s>', 'highly', 'recommend,', 'place', '</s>']"
"['<s>', 'unfortunately', '""nt""', 'trust', '</s>']","['<s>', 'unfortunately', 'eating', '</s>']"
"['<s>', 'always,', 'good', '</s>']","['<s>', 'food,', 'always', 'good', '</s>']"
"['<s>', 'disappointed,', 'food', '</s>']","['<s>', 'disappointed,', 'food,', 'lack', '</s>']"
"['<s>', 'great', 'place', '</s>']","['<s>', 'is,', 'excellent', 'place,', 'great', 'atmosphere', '</s>']"
"['<s>', 'very', 'authentic,', 'delicious', '</s>']","['<s>', 'food,', 'very', 'authentic,', 'delicious,', 'fast', 'hot', '</s>']"
"['<s>', 'worst', '</s>']","['<s>', 'hotel,', 'worst,', 'felt', '</s>']"
"['<s>', 'hoping', '</s>']","['<s>', 'tried,', 'hoping,', 'experience', '</s>']"
"['<s>', 'awesome', 'beer,', 'food', '</s>']","['<s>', 'awesome', 'food,', 'fun', 'atmosphere,', 'great', 'beer', 'amazing', '</s>']"
"['<s>', 'bland,', 'slow,', 'no', '</s>']","['<s>', 'food,', 'bland,', 'no', 'taste', '</s>']"
"['<s>', 'food,', 'amazing,', '!', '</s>']","['<s>', 'amazing', 'food', '</s>']"
"['<s>', 'real', 'pros', '</s>']","['<s>', 'pros', '</s>']"
"['<s>', 'service,', 'friendly', '</s>']","['<s>', 'very', 'friendly,', 'great', 'service', '</s>']"
"['<s>', 'rolls,', 'awesome', '</s>']","['<s>', 'spring', 'rolls,', 'awesome,', 'always', 'tasty', '</s>']"
"['<s>', 'atmosphere,', 'noisy', 'cafeteria', '</s>']","['<s>', 'atmosphere,', 'noisy', '</s>']"
"['<s>', 'nothing', '</s>']","['<s>', '<empty>', '</s>']"
"['<s>', 'sloppy', '</s>']","['<s>', 'happy,', 'sloppy', '</s>']"
"['<s>', 'too', '</s>']","['<s>', 'husband,', 'too,', 'done', '</s>']"
"['<s>', 'frank,', 'great', '</s>']","['<s>', 'great', 'for', 'eating', '</s>']"
"['<s>', 'threw,', 'caught,', 'bug', '</s>']","['<s>', 'stopped', 'eating,', 'threw,', 'trash', 'disgusted', '</s>']"
"['<s>', 'barbecue', 'items', '</s>']","['<s>', 'items', '</s>']"
"['<s>', 'recommend,', 'highly,', '!', '</s>']","['<s>', 'highly', 'recommend,', 'place', '</s>']"
"['<s>', 'authentic,', 'cuisine', '</s>']","['<s>', 'is,', 'classic,', 'cuisine,', 'authentic', 'food', '</s>']"
"['<s>', 'great', 'clips,', 'great,', '!', '</s>']","['<s>', 'love,', 'great', 'clips', '</s>']"
"['<s>', 'business', '</s>']","['<s>', 'office', 'max,', 'business', '</s>']"
"['<s>', 'dinner', 'fish', '</s>']","['<s>', 'fish', 'dinner,', 'head', '</s>']"
"['<s>', 'totally', 'happy,', 'experience', '</s>']","['<s>', 'happy,', 'experience', '</s>']"
"['<s>', 'always', 'great', '</s>']","['<s>', 'food,', 'always', 'great,', 'fair', '</s>']"
"['<s>', 'losing', 'money', '</s>']","['<s>', 'not,', 'money', '</s>']"
"['<s>', 'went,', 'ate', '</s>']","['<s>', 'ate,', 'went,', 'pee', '</s>']"
"['<s>', 'steak,', 'perfectly', '</s>']","['<s>', 'steak,', 'perfectly,', 'tender,', 'juice', 'flavorful', '</s>']"
"['<s>', 'building', '</s>']","['<s>', 'car,', 'building,', 'attendant', 'damage', '</s>']"
"['<s>', 'sound', 'so', 'delicious,', '!', '</s>']","['<s>', 'food,', 'so', 'delicious', '</s>']"
"['<s>', 'horrible', '</s>']","['<s>', 'horrible,', 'location', '</s>']"
"['<s>', 'score', '</s>']","['<s>', 'easy,', 'score,', 'stars', '</s>']"
"['<s>', 'sandwich,', 'amazing,', '!', '</s>']","['<s>', 'chicken', 'sandwich,', 'hot,', 'juicy,', 'amazing', '</s>']"
"['<s>', 'friendly', '</s>']","['<s>', 'extremely', 'friendly', '</s>']"
"['<s>', 'was,', 'wife,', 'loved', '</s>']","['<s>', 'wife', 'loved', '</s>']"
"['<s>', 'patch', '</s>']","['<s>', 'paint,', 'bad', 'patch', '</s>']"
"['<s>', 'awful', 'awful', 'awful', '</s>']","['<s>', 'awful,', 'food', '</s>']"
"['<s>', 'would', 'highly', 'recommend,', 'dentist', '</s>']","['<s>', 'would', 'highly', 'recommend', '</s>']"
"['<s>', 'chicken,', 'really', 'amazing,', '!', '</s>']","['<s>', 'is', 'really', 'amazing', '</s>']"
"['<s>', 'crowd,', 'satisfied', '</s>']","['<s>', 'always', 'wonderful,', 'satisfied', '</s>']"
"['<s>', 'very', 'clean', '</s>']","['<s>', 'very', 'clean,', 'organized', '</s>']"
"['<s>', 'place,', 'gone,', 'throat', '</s>']","['<s>', 'place,', 'gone,', 'hill', '</s>']"
"['<s>', 'one,', 'best', '</s>']","['<s>', 'one,', 'best,', 'shop', '</s>']"
"['<s>', 'gross', '</s>']","['<s>', 'seemed', 'gross,', 'chewy', '</s>']"
"['<s>', 'is,', 'great', 'place,', 'food', '</s>']","['<s>', 'place', 'is', 'awesome,', 'food,', 'great,', '!', '</s>']"
"['<s>', 'thank,', 'rock,', 'great', 'attitude,', 'wonderful', '</s>']","['<s>', 'great', 'bar,', 'wonderful', 'attitude', '</s>']"
"['<s>', 'worst', '</s>']","['<s>', 'hotel,', 'worst,', 'felt', '</s>']"
"['<s>', 'rip', '</s>']","['<s>', 'club,', 'rip', '</s>']"
"['<s>', 'cool', '</s>']","['<s>', 'super', 'cool', '</s>']"
"['<s>', 'filled,', 'mouth,', 'holes', '</s>']","['<s>', 'bad', 'taste,', 'mouth', '</s>']"
"['<s>', 'feast', '</s>']","['<s>', 'parking,', 'ready,', 'feast', '</s>']"
"['<s>', 'no', '</s>']","['<s>', 'no', 'food', '</s>']"
"['<s>', 'stinks', '</s>']","['<s>', 'lobby', 'stinks', '</s>']"
"['<s>', 'dreadful', 'meal', '</s>']","['<s>', 'meal', '</s>']"
"['<s>', 'wonderful', 'family', 'doctor', '</s>']","['<s>', 'wonderful', 'place,', 'family,', 'walking,', 'lord', '</s>']"
"['<s>', 'nasty', '</s>']","['<s>', 'chicken,', 'nasty', '</s>']"
"['<s>', 'beer,', 'gross,', 'warm,', 'fun', '</s>']","['<s>', 'fun,', 'beer', 'choices', '</s>']"
"['<s>', 'good,', '!', '</s>']","['<s>', 'meat,', 'soft,', 'good', 'flavor', '</s>']"
"['<s>', 'frozen', 'salt', 'water', '</s>']","['<s>', 'practically,', 'boiled', 'salt', 'water', '</s>']"
"['<s>', 'ice', 'cream,', 'great', '</s>']","['<s>', 'great,', 'fashioned', 'ice', 'cream', 'parlor', '</s>']"
"['<s>', 'magic', '</s>']","['<s>', 'love,', 'retro', 'feel,', 'watching,', 'magic', 'glass', '</s>']"
"['<s>', 'no', '</s>']","['<s>', 'no', 'food', '</s>']"
"['<s>', '""nt""', 'attentive', '</s>']","['<s>', 'attentive', '</s>']"
"['<s>', 'orange', '</s>']","['<s>', 'make,', 'best', 'orange', 'chicken', '</s>']"
"['<s>', 'clean,', 'inviting,', 'nice', 'helpful', '</s>']","['<s>', 'clean,', 'nice,', 'helpful', '</s>']"
"['<s>', 'star,', 'bad', '</s>']","['<s>', 'move,', 'star,', 'bad,', 'experience', '</s>']"
"['<s>', 'son', '</s>']","['<s>', 'son,', 'smothered', 'steak,', 'bomb', '</s>']"
"['<s>', 'simple,', 'perfectly', '</s>']","['<s>', 'simple,', 'prepared', 'perfectly', '</s>']"
"['<s>', 'one,', 'great', 'wine', '</s>']","['<s>', 'one', 'is,', 'great', 'one', '</s>']"
"['<s>', 'fake', '</s>']","['<s>', 'fake,', 'industry', '</s>']"
"['<s>', 'gross', '</s>']","['<s>', 'seemed', 'gross,', 'chewy', '</s>']"
"['<s>', 'hole,', 'wall', '</s>']","['<s>', 'hole,', 'wall,', 'crack', '</s>']"
"['<s>', 'max', '</s>']","['<s>', 'charge,', 'dollars,', 'max', '</s>']"
"['<s>', 'attitude', '</s>']","['<s>', 'hostess,', 'attitude', '</s>']"
"['<s>', 'ridiculous', '</s>']","['<s>', 'noise,', 'ridiculous', '</s>']"
"['<s>', 'burrito,', 'simply', 'amazing,', '!', '</s>']","['<s>', 'burrito,', 'amazing', '</s>']"
"['<s>', 'definitely', 'recommend', '</s>']","['<s>', 'definitely', 'recommend,', 'family', '</s>']"
"['<s>', 'nice', '</s>']","['<s>', 'amazing', 'selection,', 'nice', '</s>']"
"['<s>', 'paint', 'smell,', 'headache', '</s>']","['<s>', 'doors,', 'paint,', 'smell', 'dust,', 'mold', '</s>']"
"['<s>', 'is,', 'far,', 'favorite', '</s>']","['<s>', 'is,', 'far,', 'favorite,', 'eat', '</s>']"
"['<s>', 'loaded,', 'not', '</s>']","['<s>', 'not', '</s>']"
"['<s>', 'spot', '</s>']","['<s>', 'spot,', 'is', 'it,', '!', '</s>']"
"['<s>', 'tasteless', '</s>']","['<s>', 'soggy,', 'greasy,', 'tasteless', 'mess', '</s>']"
"['<s>', 'thank', 'you', '</s>']","['<s>', 'thank', 'you,', 'incredible', 'job', '</s>']"
"['<s>', 'car', '</s>']","['<s>', 'based,', 'car', '</s>']"
"['<s>', 'great', 'experience', '</s>']","['<s>', 'experience,', 'great,', '!', '</s>']"
"['<s>', 'food,', 'rushed', '</s>']","['<s>', 'food,', 'rushed,', 'lacked', 'flavor', '</s>']"
"['<s>', 'soft', 'touch', '</s>']","['<s>', 'soft', 'serve,', 'ice', 'cream', '</s>']"
"['<s>', 'poor,', 'clueless', '</s>']","['<s>', 'poor,', 'teeth', '</s>']"
"['<s>', 'soup,', 'oil', '</s>']","['<s>', 'menu,', 'soup,', 'oil', '</s>']"
"['<s>', 'great', 'food,', 'great', 'service', '</s>']","['<s>', 'great', 'service,', 'food,', 'flavor', '</s>']"
"['<s>', 'oops,', 'sorry', '</s>']","['<s>', 'sorry', '</s>']"
"['<s>', 'is,', 'really', 'lovely', 'place,', 'nails', '</s>']","['<s>', 'place', 'is', 'really,', 'great', 'place', '</s>']"
"['<s>', 'everything', '</s>']","['<s>', 'aside,', 'makes', 'everything', '</s>']"
"['<s>', 'beer', '</s>']","['<s>', 'drinking', 'beer', '</s>']"
"['<s>', 'poorly', '</s>']","['<s>', 'poorly,', 'bathroom', '</s>']"
"['<s>', 'highly', 'recommend', '</s>']","['<s>', 'highly', 'recommend,', 'place', '</s>']"
"['<s>', 'easy,', 'parking', '</s>']","['<s>', 'easy,', 'location,', 'parking', '</s>']"
"['<s>', 'fast,', 'tasty', '</s>']","['<s>', 'fast,', 'tasty', 'food,', 'experience', '</s>']"
"['<s>', 'clean,', 'friendly,', 'good,', 'kid', '</s>']","['<s>', 'friendly', 'fast,', 'clean,', 'good', 'variety', 'menu', '</s>']"
"['<s>', 'refused', '</s>']","['<s>', 'mein,', 'refused', '</s>']"
"['<s>', 'walked', '</s>']","['<s>', 'walked,', 'hit,', 'bathroom', 'smell', '</s>']"
"['<s>', 'super', 'nice', '</s>']","['<s>', 'super', 'nice,', 'friendly', '</s>']"
"['<s>', 'is,', 'best', '</s>']","['<s>', 'is,', 'best', 'food', '</s>']"
"['<s>', 'beers', '</s>']","['<s>', 'beers,', 'keg', '</s>']"
"['<s>', 'pleasant', '</s>']","['<s>', 'pleasant,', 'atmosphere', '</s>']"
"['<s>', 'disappointed,', 'treated', '</s>']","['<s>', 'disappointed,', 'appalled,', 'treated', '</s>']"
